shopping_center_name,center_type,address_street,address_city,address_state,address_zip,county,municipality,zoning_authority,year_built,owner,property_manager,leasing_agent,leasing_brokerage,total_gla,tenant_name,tenant_suite_number,square_footage,retail_category,ownership_type,base_rent,lease_term,lease_commence,lease_expiration,credit_category,,major_group
Bradford Plaza,Neighborhood Center,700 DOWNINGTOWN PIKE ,West Chester,PA,19382,Chester,East Bradford Township,,,Levin Management,Levin Management,,,161719,Orangetheory Fitness,11,4051,Exercise Studio,,,,,,,,
Bradford Plaza,Neighborhood Center,700 DOWNINGTOWN PIKE ,West Chester,PA,19382,Chester,East Bradford Township,,,Levin Management,Levin Management,,,161719,Brothers Pizza & Pasta,12,2200,Restaurant | Italian,,,,,,,,
Bradford Plaza,Neighborhood Center,700 DOWNINGTOWN PIKE ,West Chester,PA,19382,Chester,East Bradford Township,,,Levin Management,Levin Management,,,161719,Avante Salon & Spa,13,4775,Hair Salon (Womens),,,,,,,,
Bradford Plaza,Neighborhood Center,700 DOWNINGTOWN PIKE ,West Chester,PA,19382,Chester,East Bradford Township,,,Levin Management,Levin Management,,,161719,State Farm Insurance,14,1577,Insurance Agent/Broker,,,,,,,,
Bradford Plaza,Neighborhood Center,700 DOWNINGTOWN PIKE ,West Chester,PA,19382,Chester,East Bradford Township,,,Levin Management,Levin Management,,,161719,Vacant,15,2641,Vacant,,,,,,,,
Bradford Plaza,Neighborhood Center,700 DOWNINGTOWN PIKE ,West Chester,PA,19382,Chester,East Bradford Township,,,Levin Management,Levin Management,,,161719,Bert's Homemade Ice Cream & Italian Ice,16,1318,Ice Cream Shop,,,,,,,,
Bradford Plaza,Neighborhood Center,700 DOWNINGTOWN PIKE ,West Chester,PA,19382,Chester,East Bradford Township,,,Levin Management,Levin Management,,,161719,BEBE Nails,17,1318,Nail Salon,,,,,,,,
Bradford Plaza,Neighborhood Center,700 DOWNINGTOWN PIKE ,West Chester,PA,19382,Chester,East Bradford Township,,,Levin Management,Levin Management,,,161719,ATA Martial Arts,18,3220,Martial Arts,,,,,,,,
Bradford Plaza,Neighborhood Center,700 DOWNINGTOWN PIKE ,West Chester,PA,19382,Chester,East Bradford Township,,,Levin Management,Levin Management,,,161719,Dental,19,3150,Dentistry,,,,,,,,
Bradford Plaza,Neighborhood Center,700 DOWNINGTOWN PIKE ,West Chester,PA,19382,Chester,East Bradford Township,,,Levin Management,Levin Management,,,161719,Village Optical,20,2311,Eye Care,,,,,,,,
Bradford Plaza,Neighborhood Center,700 DOWNINGTOWN PIKE ,West Chester,PA,19382,Chester,East Bradford Township,,,Levin Management,Levin Management,,,161719,Vacant,21,2313,Vacant,,,,,,,,
Bradford Plaza,Neighborhood Center,700 DOWNINGTOWN PIKE ,West Chester,PA,19382,Chester,East Bradford Township,,,Levin Management,Levin Management,,,161719,Walgreens,22,14820,Pharmacy | Anchor,,,,,,,,
Bradford Plaza,Neighborhood Center,700 DOWNINGTOWN PIKE ,West Chester,PA,19382,Chester,East Bradford Township,,,Levin Management,Levin Management,,,161719,Giant Fuel,23,3100,Gas Station,,,,,,,,
Bradford Plaza,Neighborhood Center,700 DOWNINGTOWN PIKE ,West Chester,PA,19382,Chester,East Bradford Township,,,Levin Management,Levin Management,,,161719,Restaurante Morelos,24,3053,Restaurant | Mexican,,,,,,,,
Bradford Plaza,Neighborhood Center,700 DOWNINGTOWN PIKE ,West Chester,PA,19382,Chester,East Bradford Township,,,Levin Management,Levin Management,,,161719,Proposed Pad Site ,25,4300,,,,,,,,,
Cambridge Square Shopping Center,Community Center,323 E Gay St,West Chester,PA,19380,Chester,West Chester Borough,,,Spring Hill Realty,Spring Hill Realty,,,70000,La Rancherita Mexican Taqueria,1,,Restaurant | Mexican,,,,,,,,
Cambridge Square Shopping Center,Community Center,323 E Gay St,West Chester,PA,19380,Chester,West Chester Borough,,,Spring Hill Realty,Spring Hill Realty,,,70000,America's Pie West Chester,2,,Pizza (Casual),,,,,,,,
Cambridge Square Shopping Center,Community Center,323 E Gay St,West Chester,PA,19380,Chester,West Chester Borough,,,Spring Hill Realty,Spring Hill Realty,,,70000,We Buy Any Car,3,,Auto Retailers,,,,,,,,
Cambridge Square Shopping Center,Community Center,323 E Gay St,West Chester,PA,19380,Chester,West Chester Borough,,,Spring Hill Realty,Spring Hill Realty,,,70000,Rita's Italian Ice & Frozen Custard,4,,Ice Cream Shop,,,,,,,,
Cambridge Square Shopping Center,Community Center,323 E Gay St,West Chester,PA,19380,Chester,West Chester Borough,,,Spring Hill Realty,Spring Hill Realty,,,70000,Jersey Mike's Subs,5,,Restaurant | Fast Food,,,,,,,,
Cambridge Square Shopping Center,Community Center,323 E Gay St,West Chester,PA,19380,Chester,West Chester Borough,,,Spring Hill Realty,Spring Hill Realty,,,70000,Sharkey's Cuts For Kids,6,,Hair Salon (Childrens),,,,,,,,
Cambridge Square Shopping Center,Community Center,323 E Gay St,West Chester,PA,19380,Chester,West Chester Borough,,,Spring Hill Realty,Spring Hill Realty,,,70000,Electric Avenue Music,7,,Music,,,,,,,,
Cambridge Square Shopping Center,Community Center,323 E Gay St,West Chester,PA,19380,Chester,West Chester Borough,,,Spring Hill Realty,Spring Hill Realty,,,70000,Arianna's Gourmet Cafe,8,,Restaurant | Full Service,,,,,,,,
Cambridge Square Shopping Center,Community Center,323 E Gay St,West Chester,PA,19380,Chester,West Chester Borough,,,Spring Hill Realty,Spring Hill Realty,,,70000,Magnus Karate,9,,Martial Arts,,,,,,,,
Cambridge Square Shopping Center,Community Center,323 E Gay St,West Chester,PA,19380,Chester,West Chester Borough,,,Spring Hill Realty,Spring Hill Realty,,,70000,Bella Bella Salon,10,,Hair Salon (Womens),,,,,,,,
Cambridge Square Shopping Center,Community Center,323 E Gay St,West Chester,PA,19380,Chester,West Chester Borough,,,Spring Hill Realty,Spring Hill Realty,,,70000,SoleVille,11,,Shoes,,,,,,,,
Cambridge Square Shopping Center,Community Center,323 E Gay St,West Chester,PA,19380,Chester,West Chester Borough,,,Spring Hill Realty,Spring Hill Realty,,,70000,Benchmark Federal Credit Union,12,,Bank,,,,,,,,
Cambridge Square Shopping Center,Community Center,323 E Gay St,West Chester,PA,19380,Chester,West Chester Borough,,,Spring Hill Realty,Spring Hill Realty,,,70000,Disc Hounds,13,,Music,,,,,,,,
Cambridge Square Shopping Center,Community Center,323 E Gay St,West Chester,PA,19380,Chester,West Chester Borough,,,Spring Hill Realty,Spring Hill Realty,,,70000,Be & Breathe,14,,,,,,,,,,
Cambridge Square Shopping Center,Community Center,323 E Gay St,West Chester,PA,19380,Chester,West Chester Borough,,,Spring Hill Realty,Spring Hill Realty,,,70000,Grocery and deli D.f.,15,,,,,,,,,,
Cambridge Square Shopping Center,Community Center,323 E Gay St,West Chester,PA,19380,Chester,West Chester Borough,,,Spring Hill Realty,Spring Hill Realty,,,70000,West Chester Check Cashing,16,,Check Cashing,,,,,,,,
Cambridge Square Shopping Center,Community Center,323 E Gay St,West Chester,PA,19380,Chester,West Chester Borough,,,Spring Hill Realty,Spring Hill Realty,,,70000,Convert To Digital (Home Movies,17,,,,,,,,,,
West Goshen Town Centre,Community Center,1103 – 1115 West Chester Pike ,West Chester,PA,19382,Chester,West Chester Borough,,,Brandolini Companies,Brandolini Companies,,,135650,Panera Bread,A-1,5200,,,,,,,,,
West Goshen Town Centre,Community Center,1103 – 1115 West Chester Pike ,West Chester,PA,19382,Chester,West Chester Borough,,,Brandolini Companies,Brandolini Companies,,,135650,PetSmart,A-2,21344,,,,,,,,,
West Goshen Town Centre,Community Center,1103 – 1115 West Chester Pike ,West Chester,PA,19382,Chester,West Chester Borough,,,Brandolini Companies,Brandolini Companies,,,135650,ShopRite Supermarket,A-4,58074,,,,,,,,,
West Goshen Town Centre,Community Center,1103 – 1115 West Chester Pike ,West Chester,PA,19382,Chester,West Chester Borough,,,Brandolini Companies,Brandolini Companies,,,135650,GameStop,A-10,1600,,,,,,,,,
West Goshen Town Centre,Community Center,1103 – 1115 West Chester Pike ,West Chester,PA,19382,Chester,West Chester Borough,,,Brandolini Companies,Brandolini Companies,,,135650,Great Clips,A-11,1200,,,,,,,,,
West Goshen Town Centre,Community Center,1103 – 1115 West Chester Pike ,West Chester,PA,19382,Chester,West Chester Borough,,,Brandolini Companies,Brandolini Companies,,,135650,at&t,A-12,2089,,,,,,,,,
West Goshen Town Centre,Community Center,1103 – 1115 West Chester Pike ,West Chester,PA,19382,Chester,West Chester Borough,,,Brandolini Companies,Brandolini Companies,,,135650,AT&T Wireless,A-14,3200,,,,,,,,,
West Goshen Town Centre,Community Center,1103 – 1115 West Chester Pike ,West Chester,PA,19382,Chester,West Chester Borough,,,Brandolini Companies,Brandolini Companies,,,135650,S.S.A. Offices,B-1,12010,,,,,,,,,
West Goshen Town Centre,Community Center,1103 – 1115 West Chester Pike ,West Chester,PA,19382,Chester,West Chester Borough,,,Brandolini Companies,Brandolini Companies,,,135650,Qdoba,B-4,2444,,,,,,,,,
West Goshen Town Centre,Community Center,1103 – 1115 West Chester Pike ,West Chester,PA,19382,Chester,West Chester Borough,,,Brandolini Companies,Brandolini Companies,,,135650,Wayback Burgers,B-5,1948,,,,,,,,,
West Goshen Town Centre,Community Center,1103 – 1115 West Chester Pike ,West Chester,PA,19382,Chester,West Chester Borough,,,Brandolini Companies,Brandolini Companies,,,135650,Panera,B-7,3155,,,,,,,,,
West Goshen Town Centre,Community Center,1103 – 1115 West Chester Pike ,West Chester,PA,19382,Chester,West Chester Borough,,,Brandolini Companies,Brandolini Companies,,,135650,H&R Block,B-8,3042,,,,,,,,,
West Goshen Town Centre,Community Center,1103 – 1115 West Chester Pike ,West Chester,PA,19382,Chester,West Chester Borough,,,Brandolini Companies,Brandolini Companies,,,135650,HOTWORX,B-9,2001,,,,,,,,,
West Goshen Town Centre,Community Center,1103 – 1115 West Chester Pike ,West Chester,PA,19382,Chester,West Chester Borough,,,Brandolini Companies,Brandolini Companies,,,135650,Available,B-10,3300,,,,,,,,,
West Goshen Town Centre,Community Center,1103 – 1115 West Chester Pike ,West Chester,PA,19382,Chester,West Chester Borough,,,Brandolini Companies,Brandolini Companies,,,135650,Hunan Chinese Restaurant,B-12,2610,,,,,,,,,
West Goshen Town Centre,Community Center,1103 – 1115 West Chester Pike ,West Chester,PA,19382,Chester,West Chester Borough,,,Brandolini Companies,Brandolini Companies,,,135650,On Time Cleaners,B-14,1820,,,,,,,,,
West Goshen Town Centre,Community Center,1103 – 1115 West Chester Pike ,West Chester,PA,19382,Chester,West Chester Borough,,,Brandolini Companies,Brandolini Companies,,,135650,Any Lab Test Now,B-15,1467,,,,,,,,,
West Goshen Town Centre,Community Center,1103 – 1115 West Chester Pike ,West Chester,PA,19382,Chester,West Chester Borough,,,Brandolini Companies,Brandolini Companies,,,135650,Verizon,B-16,2125,,,,,,,,,
West Goshen Town Centre,Community Center,1103 – 1115 West Chester Pike ,West Chester,PA,19382,Chester,West Chester Borough,,,Brandolini Companies,Brandolini Companies,,,135650,Family Laundromat,B-17,2652,,,,,,,,,
West Goshen Town Centre,Community Center,1103 – 1115 West Chester Pike ,West Chester,PA,19382,Chester,West Chester Borough,,,Brandolini Companies,Brandolini Companies,,,135650,S&T Bank,PAD 1,2856,,,,,,,,,
West Goshen Town Centre,Community Center,1103 – 1115 West Chester Pike ,West Chester,PA,19382,Chester,West Chester Borough,,,Brandolini Companies,Brandolini Companies,,,135650,Applebee's Restaurant,PAD 2,5440,,,,,,,,,
West Goshen Shopping Center,Community Center,909 Paoli Pike,West Chester,PA,19380,Chester,West Goshen Township,,,Arrow Real Estate Services,Arrow Real Estate Services,,,,ACME Markets,1,,,,,,,,,,
West Goshen Shopping Center,Community Center,909 Paoli Pike,West Chester,PA,19380,Chester,West Goshen Township,,,Arrow Real Estate Services,Arrow Real Estate Services,,,,Michi Japanese Restaurant,2,,,,,,,,,,
West Goshen Shopping Center,Community Center,909 Paoli Pike,West Chester,PA,19380,Chester,West Goshen Township,,,Arrow Real Estate Services,Arrow Real Estate Services,,,,Hair Cuttery,3,,,,,,,,,,
West Goshen Shopping Center,Community Center,909 Paoli Pike,West Chester,PA,19380,Chester,West Goshen Township,,,Arrow Real Estate Services,Arrow Real Estate Services,,,,General Nutrition Center,4,,,,,,,,,,
West Goshen Shopping Center,Community Center,909 Paoli Pike,West Chester,PA,19380,Chester,West Goshen Township,,,Arrow Real Estate Services,Arrow Real Estate Services,,,,Norman's Hallmark,5/6,,,,,,,,,,
West Goshen Shopping Center,Community Center,909 Paoli Pike,West Chester,PA,19380,Chester,West Goshen Township,,,Arrow Real Estate Services,Arrow Real Estate Services,,,,MyEyeDr,7,,,,,,,,,,
West Goshen Shopping Center,Community Center,909 Paoli Pike,West Chester,PA,19380,Chester,West Goshen Township,,,Arrow Real Estate Services,Arrow Real Estate Services,,,,Stuart Jewelers,8,,,,,,,,,,
West Goshen Shopping Center,Community Center,909 Paoli Pike,West Chester,PA,19380,Chester,West Goshen Township,,,Arrow Real Estate Services,Arrow Real Estate Services,,,,Vacant,9,,,,,,,,,,
West Goshen Shopping Center,Community Center,909 Paoli Pike,West Chester,PA,19380,Chester,West Goshen Township,,,Arrow Real Estate Services,Arrow Real Estate Services,,,,Wine & Spirits Outlet Store,10,,,,,,,,,,
West Goshen Shopping Center,Community Center,909 Paoli Pike,West Chester,PA,19380,Chester,West Goshen Township,,,Arrow Real Estate Services,Arrow Real Estate Services,,,,"Staples,N/A",11,,,,,,,,,,
West Goshen Shopping Center,Community Center,909 Paoli Pike,West Chester,PA,19380,Chester,West Goshen Township,,,Arrow Real Estate Services,Arrow Real Estate Services,,,,"Dollar or Two,N/A",12,,,,,,,,,,
West Goshen Shopping Center,Community Center,909 Paoli Pike,West Chester,PA,19380,Chester,West Goshen Township,,,Arrow Real Estate Services,Arrow Real Estate Services,,,,Carmine's Pizza & Eatery,13,,,,,,,,,,
West Goshen Shopping Center,Community Center,909 Paoli Pike,West Chester,PA,19380,Chester,West Goshen Township,,,Arrow Real Estate Services,Arrow Real Estate Services,,,,Merry Maids,15,,,,,,,,,,
West Goshen Shopping Center,Community Center,909 Paoli Pike,West Chester,PA,19380,Chester,West Goshen Township,,,Arrow Real Estate Services,Arrow Real Estate Services,,,,Sprint,16,,,,,,,,,,
West Goshen Shopping Center,Community Center,909 Paoli Pike,West Chester,PA,19380,Chester,West Goshen Township,,,Arrow Real Estate Services,Arrow Real Estate Services,,,,Pet Supplies Plus,17/18,,,,,,,,,,
West Goshen Shopping Center,Community Center,909 Paoli Pike,West Chester,PA,19380,Chester,West Goshen Township,,,Arrow Real Estate Services,Arrow Real Estate Services,,,,Wells Fargo,20,,,,,,,,,,
West Goshen Shopping Center,Community Center,909 Paoli Pike,West Chester,PA,19380,Chester,West Goshen Township,,,Arrow Real Estate Services,Arrow Real Estate Services,,,,MySalonSuite,21A,,,,,,,,,,
West Goshen Shopping Center,Community Center,909 Paoli Pike,West Chester,PA,19380,Chester,West Goshen Township,,,Arrow Real Estate Services,Arrow Real Estate Services,,,,LA Fitness,21B/22/23,,,,,,,,,,
West Goshen Shopping Center,Community Center,909 Paoli Pike,West Chester,PA,19380,Chester,West Goshen Township,,,Arrow Real Estate Services,Arrow Real Estate Services,,,,Target,24,,,,,,,,,,
West Goshen Shopping Center,Community Center,909 Paoli Pike,West Chester,PA,19380,Chester,West Goshen Township,,,Arrow Real Estate Services,Arrow Real Estate Services,,,,Chick-fil-A,25,,,,,,,,,,
The Shoppes at Brinton Lake,Lifestyle Center,949 Baltimore Pike,Glenn Mills ,PA,19342,Delaware,Thornbury Township,,,AmCap,AmCap,,,192191,Pier 1 Imports,1,9900,,,,,,,,,
The Shoppes at Brinton Lake,Lifestyle Center,949 Baltimore Pike,Glenn Mills ,PA,19342,Delaware,Thornbury Township,,,AmCap,AmCap,,,192191,Soft Surroundings,2,4300,,,,,,,,,
The Shoppes at Brinton Lake,Lifestyle Center,949 Baltimore Pike,Glenn Mills ,PA,19342,Delaware,Thornbury Township,,,AmCap,AmCap,,,192191,Vacant,3,3298,,,,,,,,,
The Shoppes at Brinton Lake,Lifestyle Center,949 Baltimore Pike,Glenn Mills ,PA,19342,Delaware,Thornbury Township,,,AmCap,AmCap,,,192191,lululemon,4,3200,,,,,,,,,
The Shoppes at Brinton Lake,Lifestyle Center,949 Baltimore Pike,Glenn Mills ,PA,19342,Delaware,Thornbury Township,,,AmCap,AmCap,,,192191,Clarks,5,2760,,,,,,,,,
The Shoppes at Brinton Lake,Lifestyle Center,949 Baltimore Pike,Glenn Mills ,PA,19342,Delaware,Thornbury Township,,,AmCap,AmCap,,,192191,Charming Charlie,6,8040,,,,,,,,,
The Shoppes at Brinton Lake,Lifestyle Center,949 Baltimore Pike,Glenn Mills ,PA,19342,Delaware,Thornbury Township,,,AmCap,AmCap,,,192191,Eddie Bauer,7,6090,,,,,,,,,
The Shoppes at Brinton Lake,Lifestyle Center,949 Baltimore Pike,Glenn Mills ,PA,19342,Delaware,Thornbury Township,,,AmCap,AmCap,,,192191,Talbots,8,6188,,,,,,,,,
The Shoppes at Brinton Lake,Lifestyle Center,949 Baltimore Pike,Glenn Mills ,PA,19342,Delaware,Thornbury Township,,,AmCap,AmCap,,,192191,The Ski Bum,9,4345,,,,,,,,,
The Shoppes at Brinton Lake,Lifestyle Center,949 Baltimore Pike,Glenn Mills ,PA,19342,Delaware,Thornbury Township,,,AmCap,AmCap,,,192191,Bravo Pizza,10,2317,,,,,,,,,
The Shoppes at Brinton Lake,Lifestyle Center,949 Baltimore Pike,Glenn Mills ,PA,19342,Delaware,Thornbury Township,,,AmCap,AmCap,,,192191,Anthropologie,11,10782,,,,,,,,,
The Shoppes at Brinton Lake,Lifestyle Center,949 Baltimore Pike,Glenn Mills ,PA,19342,Delaware,Thornbury Township,,,AmCap,AmCap,,,192191,Justice,12,5783,,,,,,,,,
The Shoppes at Brinton Lake,Lifestyle Center,949 Baltimore Pike,Glenn Mills ,PA,19342,Delaware,Thornbury Township,,,AmCap,AmCap,,,192191,Gymboree,13,2500,,,,,,,,,
The Shoppes at Brinton Lake,Lifestyle Center,949 Baltimore Pike,Glenn Mills ,PA,19342,Delaware,Thornbury Township,,,AmCap,AmCap,,,192191,J. Crew,14,7717,Apparel (Adult),,,,,,,,
The Shoppes at Brinton Lake,Lifestyle Center,949 Baltimore Pike,Glenn Mills ,PA,19342,Delaware,Thornbury Township,,,AmCap,AmCap,,,192191,Pottery Barn,15,10300,Home Furnishings,,,,,,,,
The Shoppes at Brinton Lake,Lifestyle Center,949 Baltimore Pike,Glenn Mills ,PA,19342,Delaware,Thornbury Township,,,AmCap,AmCap,,,192191,Williams-Sonoma,16,4500,Home Furnishings,,,,,,,,
The Shoppes at Brinton Lake,Lifestyle Center,949 Baltimore Pike,Glenn Mills ,PA,19342,Delaware,Thornbury Township,,,AmCap,AmCap,,,192191,Chico's,17,2250,,,,,,,,,
The Shoppes at Brinton Lake,Lifestyle Center,949 Baltimore Pike,Glenn Mills ,PA,19342,Delaware,Thornbury Township,,,AmCap,AmCap,,,192191,Victoria's Secret,18,4863,Apparel (Women's),,,,,,,,
The Shoppes at Brinton Lake,Lifestyle Center,949 Baltimore Pike,Glenn Mills ,PA,19342,Delaware,Thornbury Township,,,AmCap,AmCap,,,192191,Loft,19,6236,,,,,,,,,
The Shoppes at Brinton Lake,Lifestyle Center,949 Baltimore Pike,Glenn Mills ,PA,19342,Delaware,Thornbury Township,,,AmCap,AmCap,,,192191,The Fresh Market,20,22567,Supermarket,,,,,,,,
The Shoppes at Brinton Lake,Lifestyle Center,949 Baltimore Pike,Glenn Mills ,PA,19342,Delaware,Thornbury Township,,,AmCap,AmCap,,,192191,Soma,21,2800,,,,,,,,,
The Shoppes at Brinton Lake,Lifestyle Center,949 Baltimore Pike,Glenn Mills ,PA,19342,Delaware,Thornbury Township,,,AmCap,AmCap,,,192191,J. Jill,22,3415,,,,,,,,,
The Shoppes at Brinton Lake,Lifestyle Center,949 Baltimore Pike,Glenn Mills ,PA,19342,Delaware,Thornbury Township,,,AmCap,AmCap,,,192191,Ruby's Diner,23,5023,,,,,,,,,
The Shoppes at Brinton Lake,Lifestyle Center,949 Baltimore Pike,Glenn Mills ,PA,19342,Delaware,Thornbury Township,,,AmCap,AmCap,,,192191,P.F. Chang's China Bistro,24,7180,,,,,,,,,
The Shoppes at Brinton Lake,Lifestyle Center,949 Baltimore Pike,Glenn Mills ,PA,19342,Delaware,Thornbury Township,,,AmCap,AmCap,,,192191,Big Fish Grill,25,6359,,,,,,,,,
The Shoppes at Brinton Lake,Lifestyle Center,949 Baltimore Pike,Glenn Mills ,PA,19342,Delaware,Thornbury Township,,,AmCap,AmCap,,,192191,WSFS Bank,26,3500,,,,,,,,,
The Shoppes at Brinton Lake,Lifestyle Center,949 Baltimore Pike,Glenn Mills ,PA,19342,Delaware,Thornbury Township,,,AmCap,AmCap,,,192191,CVS Pharmacy,27,10880,,,,,,,,,
The Shoppes at Brinton Lake,Lifestyle Center,949 Baltimore Pike,Glenn Mills ,PA,19342,Delaware,Thornbury Township,,,AmCap,AmCap,,,192191,KinderCare,28,9255,,,,,,,,,
The Shoppes at Brinton Lake,Lifestyle Center,949 Baltimore Pike,Glenn Mills ,PA,19342,Delaware,Thornbury Township,,,AmCap,AmCap,,,192191,Color Me Mine,29,1401,,,,,,,,,
The Shoppes at Brinton Lake,Lifestyle Center,949 Baltimore Pike,Glenn Mills ,PA,19342,Delaware,Thornbury Township,,,AmCap,AmCap,,,192191,Cardinal Camera,30,2120,,,,,,,,,
The Shoppes at Brinton Lake,Lifestyle Center,949 Baltimore Pike,Glenn Mills ,PA,19342,Delaware,Thornbury Township,,,AmCap,AmCap,,,192191,Wild Birds Unlimited,31,1417,,,,,,,,,
The Shoppes at Brinton Lake,Lifestyle Center,949 Baltimore Pike,Glenn Mills ,PA,19342,Delaware,Thornbury Township,,,AmCap,AmCap,,,192191,Vacant,32,1518,,,,,,,,,
The Shoppes at Brinton Lake,Lifestyle Center,949 Baltimore Pike,Glenn Mills ,PA,19342,Delaware,Thornbury Township,,,AmCap,AmCap,,,192191,Pearle Vision,33,1473,Eye Care,,,,,,,,
The Shoppes at Brinton Lake,Lifestyle Center,949 Baltimore Pike,Glenn Mills ,PA,19342,Delaware,Thornbury Township,,,AmCap,AmCap,,,192191,GNC,34,1762,,,,,,,,,
The Shoppes at Brinton Lake,Lifestyle Center,949 Baltimore Pike,Glenn Mills ,PA,19342,Delaware,Thornbury Township,,,AmCap,AmCap,,,192191,Amelia Paris Salon & Spa,35,2122,,,,,,,,,
The Shoppes at Brinton Lake,Lifestyle Center,949 Baltimore Pike,Glenn Mills ,PA,19342,Delaware,Thornbury Township,,,AmCap,AmCap,,,192191,Brinton Lake Nails & Spa,36,1400,,,,,,,,,
The Shoppes at Brinton Lake,Lifestyle Center,949 Baltimore Pike,Glenn Mills ,PA,19342,Delaware,Thornbury Township,,,AmCap,AmCap,,,192191,Pure Bread Deli,37,2560,,,,,,,,,
Shoppes at Longwood Village,Community Center,859 E Baltimore Pike,Kennett Square,PA,19348,Chester,Kennett Township,,,Waters Retail Group,Waters Retail Group,,,132868,TJ Maxx,1,24300,,,,,,,,,
Shoppes at Longwood Village,Community Center,859 E Baltimore Pike,Kennett Square,PA,19348,Chester,Kennett Township,,,Waters Retail Group,Waters Retail Group,,,132868,PureBread Deli,2,2000,,,,,,,,,
Shoppes at Longwood Village,Community Center,859 E Baltimore Pike,Kennett Square,PA,19348,Chester,Kennett Township,,,Waters Retail Group,Waters Retail Group,,,132868,Salon Sciences Day Spa,3,5500,,,,,,,,,
Shoppes at Longwood Village,Community Center,859 E Baltimore Pike,Kennett Square,PA,19348,Chester,Kennett Township,,,Waters Retail Group,Waters Retail Group,,,132868,Norman's Hallmark,4,5000,,,,,,,,,
Shoppes at Longwood Village,Community Center,859 E Baltimore Pike,Kennett Square,PA,19348,Chester,Kennett Township,,,Waters Retail Group,Waters Retail Group,,,132868,Famous Footwear,5,9200,,,,,,,,,
Shoppes at Longwood Village,Community Center,859 E Baltimore Pike,Kennett Square,PA,19348,Chester,Kennett Township,,,Waters Retail Group,Waters Retail Group,,,132868,Wasabi III,6,1600,,,,,,,,,
Shoppes at Longwood Village,Community Center,859 E Baltimore Pike,Kennett Square,PA,19348,Chester,Kennett Township,,,Waters Retail Group,Waters Retail Group,,,132868,AT&T,7,2000,,,,,,,,,
Shoppes at Longwood Village,Community Center,859 E Baltimore Pike,Kennett Square,PA,19348,Chester,Kennett Township,,,Waters Retail Group,Waters Retail Group,,,132868,MyEyeDr,8,1488,,,,,,,,,
Shoppes at Longwood Village,Community Center,859 E Baltimore Pike,Kennett Square,PA,19348,Chester,Kennett Township,,,Waters Retail Group,Waters Retail Group,,,132868,Two Stones Pub,9,3500,,,,,,,,,
Shoppes at Longwood Village,Community Center,859 E Baltimore Pike,Kennett Square,PA,19348,Chester,Kennett Township,,,Waters Retail Group,Waters Retail Group,,,132868,Health Kitchen,10,3600,,,,,,,,,
Shoppes at Longwood Village,Community Center,859 E Baltimore Pike,Kennett Square,PA,19348,Chester,Kennett Township,,,Waters Retail Group,Waters Retail Group,,,132868,GNC,11,1188,,,,,,,,,
Shoppes at Longwood Village,Community Center,859 E Baltimore Pike,Kennett Square,PA,19348,Chester,Kennett Township,,,Waters Retail Group,Waters Retail Group,,,132868,Concord Pet Foods & Supplies,12,4550,,,,,,,,,
Shoppes at Longwood Village,Community Center,859 E Baltimore Pike,Kennett Square,PA,19348,Chester,Kennett Township,,,Waters Retail Group,Waters Retail Group,,,132868,Fine Wine & Good Spirits,13,12003,,,,,,,,,
Shoppes at Longwood Village,Community Center,859 E Baltimore Pike,Kennett Square,PA,19348,Chester,Kennett Township,,,Waters Retail Group,Waters Retail Group,,,132868,Club Pilates,14,2000,,,,,,,,,
Shoppes at Longwood Village,Community Center,859 E Baltimore Pike,Kennett Square,PA,19348,Chester,Kennett Township,,,Waters Retail Group,Waters Retail Group,,,132868,Carter's | OshKosh B'gosh,15,5000,,,,,,,,,
Shoppes at Longwood Village,Community Center,859 E Baltimore Pike,Kennett Square,PA,19348,Chester,Kennett Township,,,Waters Retail Group,Waters Retail Group,,,132868,Ulta Beauty,16,10393,,,,,,,,,
Shoppes at Longwood Village,Community Center,859 E Baltimore Pike,Kennett Square,PA,19348,Chester,Kennett Township,,,Waters Retail Group,Waters Retail Group,,,132868,Ross Dress for Less,17,22000,,,,,,,,,
Shoppes at Longwood Village,Community Center,859 E Baltimore Pike,Kennett Square,PA,19348,Chester,Kennett Township,,,Waters Retail Group,Waters Retail Group,,,132868,Jos. A. Bank,18,4833,,,,,,,,,
Shoppes at Longwood Village,Community Center,859 E Baltimore Pike,Kennett Square,PA,19348,Chester,Kennett Township,,,Waters Retail Group,Waters Retail Group,,,132868,PNC Bank,19,1200,,,,,,,,,
Shoppes at Longwood Village,Community Center,859 E Baltimore Pike,Kennett Square,PA,19348,Chester,Kennett Township,,,Waters Retail Group,Waters Retail Group,,,132868,Capriotti's,20,1725,,,,,,,,,
Shoppes at Longwood Village,Community Center,859 E Baltimore Pike,Kennett Square,PA,19348,Chester,Kennett Township,,,Waters Retail Group,Waters Retail Group,,,132868,Starbucks,21,1462,,,,,,,,,
Shoppes at Longwood Village,Community Center,859 E Baltimore Pike,Kennett Square,PA,19348,Chester,Kennett Township,,,Waters Retail Group,Waters Retail Group,,,132868,Red Sombrero,22,1463,,,,,,,,,
Shoppes at Longwood Village,Community Center,859 E Baltimore Pike,Kennett Square,PA,19348,Chester,Kennett Township,,,Waters Retail Group,Waters Retail Group,,,132868,Wendy's,23,3480,,,,,,,,,
